id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2265,Zen-East in the Heart of Austin (monthly rental),2466,Paddy,,78702,30.2775,-97.71398,Entire home/apt,225,30,24,2019-03-16,0.18,3,0
5245,"Eco friendly, Colorful, Clean, Cozy monthly share",2466,Paddy,,78702,30.27577,-97.71379,Private room,100,30,9,2018-03-14,0.07,3,0
5456,"Walk to 6th, Rainey St and Convention Ctr",8028,Sylvia,,78702,30.26112,-97.73448,Entire home/apt,95,2,532,2020-03-19,3.90,1,359
5769,NW Austin Room,8186,Elizabeth,,78729,30.45697,-97.78422,Private room,40,1,257,2019-11-03,2.09,1,18
6413,Gem of a Studio near Downtown,13879,Todd,,78704,30.24829,-97.73726,Entire home/apt,99,30,112,2020-03-08,0.88,1,13
6448,Secluded Studio in 78704 (Zilker),14156,Amy,,78704,30.26027,-97.76503,Entire home/apt,139,3,228,2020-03-12,2.15,2,179
8502,Woodland Studio Lodging,25298,Karen,,78741,30.23616,-97.73682,Entire home/apt,40,3,46,2019-05-28,0.37,1,179
14913,Blue Boy Club House / Music Venue,58635,Steven,,78748,30.15645,-97.82411,Entire home/apt,300,1,28,2019-11-03,0.37,1,350
21126,Quiet and Chic Mid-Century Retreat with Yard.,80406,Dani,,78704,30.24417,-97.73988,Entire home/apt,550,1,95,2020-05-06,1.07,11,142
21145,"Private Pool, Non Smoking, Pet Friendly, Central",80511,April,,78705,30.29422,-97.74618,Entire home/apt,220,30,36,2020-02-18,0.70,1,330
22166,Close in Hill country views NW ,84906,Stacey,,78759,30.38957,-97.76216,Entire home/apt,150,30,9,2015-07-04,0.07,1,361
22828,Garage Apartment near S Congress,56488,David,,78741,30.23614,-97.73225,Entire home/apt,52,31,37,2019-08-15,0.30,1,296
22982,Private Clarksville 2-1/Sleeps Six,89031,Gina,,78703,30.28027,-97.75596,Entire home/apt,95,2,164,2020-03-08,1.32,1,177
25028,Lovely Central Austin Bungalow & Studio,102862,Elana,,78757,30.33766,-97.73726,Entire home/apt,100,30,33,2019-09-30,0.27,2,296
32396,South Austin Comfort,140174,Tiffany,,78749,30.20273,-97.84439,Entire home/apt,55,1,9,2012-10-02,0.08,1,136
37324,furnished bedroom and full bath,161189,Chris,,78727,30.4303,-97.69125,Private room,35,30,38,2020-02-29,0.63,1,144
39993,Tiny Tarrytown Apartment,210965,Susan And Anthony,,78703,30.29923,-97.77789,Entire home/apt,59,2,158,2020-03-15,2.10,2,84
40285,"OUTDOOR LIVING IN AUSTIN, TX",170787,Robbie,,78731,30.35141,-97.76323,Entire home/apt,350,2,30,2019-09-08,0.27,1,365
46929,Sunny Central Austin Apartment,210965,Susan And Anthony,,78703,30.29923,-97.77789,Entire home/apt,105,2,378,2020-03-12,3.24,2,183
47572,Harmonious Home in  N. Austin for Longer Stays,215917,Belinda,,78758,30.37641,-97.70926,Private room,36,30,2,2019-09-30,0.14,1,365
50310,Super Hip South Austin Studio,230553,Sevylla,,78744,30.20093,-97.75318,Entire home/apt,40,3,266,2020-03-12,2.27,2,312
50318,Scooby Doo House,12409,Flip,,78705,30.28625,-97.75022,Entire home/apt,130,30,30,2019-11-04,0.26,2,365
56690,STUDIO IN SOCO.  BEST LOCATION!,268988,Stephanie,,78704,30.2444,-97.75121,Entire home/apt,150,2,169,2020-03-01,1.51,2,90
57187,"Zilker Park, Fun, Funky, Colorful, Peaceful Haven",272156,Lois,,78704,30.25596,-97.76866,Entire home/apt,99,1,648,2020-05-16,5.68,2,361
68130,Hyde Park Flat - Bamboo Floors,336916,Drew,,78751,30.31171,-97.72455,Entire home/apt,89,2,484,2020-04-10,4.26,1,23
69303,Colorful and Quirky Zilker Park Townhouse,272156,Lois,,78704,30.2607,-97.77194,Entire home/apt,145,2,107,2020-03-02,0.97,2,350
69352,Enchanting Zilker Cottage~Downtown,347068,Particular Properties,,78704,30.25775,-97.76354,Entire home/apt,159,2,390,2018-05-24,3.50,2,0
69810,"Live Beneath Live Oaks in a Bright, Intimate House",82762,Dolina,,78704,30.23152,-97.76434,Entire home/apt,110,2,441,2020-03-14,3.93,1,0
70258,South 1st Garage Apartment - Ideally Central,355348,Jason,,78704,30.23616,-97.76446,Entire home/apt,150,2,29,2019-11-10,0.89,1,62
70659,Private Cottage-Near UT/Hyde Park,359112,Sara,,78722,30.2912,-97.71956,Entire home/apt,110,2,222,2020-02-16,1.97,1,358
70812,1 Bedroom Apt; Above the Studio,268988,Stephanie,,78704,30.24501,-97.74986,Entire home/apt,150,2,140,2020-03-08,1.25,2,90
72633,Architect Designed - Great Location,377037,Becca,,78704,30.24604,-97.75329,Entire home/apt,470,2,40,2019-10-07,0.36,1,362
72833,Detached Central Cottage with Bikes!,378744,Ellen And Andy,,78731,30.313,-97.75066,Entire home/apt,85,3,336,2020-04-07,3.01,1,153
